kick_result,kick_distance,game_seconds_remaining,total_home_score,total_away_score,home_team,away_team,posteam_score,defteam_score,score_differential
1,42,2004,19,0,HOU,CLE,16,0,16
1,48,1805,22,0,HOU,CLE,19,0,19
1,53,1231,25,7,HOU,CLE,22,7,15
1,38,350,28,7,HOU,CLE,25,7,18
0,50,2247,0,0,CIN,DEN,0,0,0
1,35,1816,3,7,CIN,DEN,0,7,-7
1,29,27,10,24,CIN,DEN,21,10,11
1,24,2900,0,3,DET,LA,0,0,0
1,28,2546,3,3,DET,LA,0,3,-3
1,47,1848,3,13,DET,LA,10,3,7
1,29,1381,6,13,DET,LA,3,13,-10
1,48,1251,6,16,DET,LA,13,6,7
1,35,177,16,23,DET,LA,13,23,-10
1,32,1818,10,7,GB,ARI,7,7,0
1,44,1222,10,10,GB,ARI,7,10,-3
1,44,105,17,20,GB,ARI,17,17,0
0,49,3,17,20,GB,ARI,17,20,-3
1,29,3165,0,10,OAK,KC,7,0,7
1,50,2227,0,13,OAK,KC,10,0,10
1,50,1570,10,19,OAK,KC,7,19,-12
1,44,34,33,40,OAK,KC,30,40,-10
1,54,3280,0,3,TEN,NYJ,0,0,0
1,34,2505,0,12,TEN,NYJ,9,0,9
1,43,1976,0,15,TEN,NYJ,12,0,12
1,39,1543,6,18,TEN,NYJ,15,6,9
1,39,931,13,21,TEN,NYJ,18,13,5
1,24,573,16,21,TEN,NYJ,13,21,-8
1,33,344,19,21,TEN,NYJ,16,21,-5
1,45,1805,20,3,SEA,SF,0,20,-20
1,40,473,37,16,SEA,SF,34,16,18
0,48,3031,7,0,NE,MIN,0,7,-7
1,20,2148,10,0,NE,MIN,7,0,7
0,48,1286,10,7,NE,MIN,10,7,3
1,39,1044,10,10,NE,MIN,7,10,-3
0,52,3384,0,0,PIT,LAC,0,0,0
1,48,1965,16,7,PIT,LAC,13,7,6
1,29,0,30,31,PIT,LAC,28,30,-2
1,44,2629,7,3,PHI,WAS,0,7,-7
1,47,1819,14,13,PHI,WAS,10,14,-4
1,46,705,25,13,PHI,WAS,22,13,9
1,44,292,28,13,PHI,WAS,25,13,12
1,33,1810,18,0,TEN,JAX,15,0,15
1,47,2979,7,3,BUF,NYJ,0,7,-7
1,21,2473,14,6,BUF,NYJ,3,14,-11
1,31,2238,17,6,BUF,NYJ,14,6,8
0,49,1804,17,13,BUF,NYJ,17,13,4
1,29,1706,20,13,BUF,NYJ,17,13,4
0,54,474,20,20,BUF,NYJ,20,20,0
1,36,155,23,20,BUF,NYJ,20,20,0
1,35,2443,0,9,WAS,NYG,6,0,6
1,23,1804,0,33,WAS,NYG,30,0,30
0,46,2480,7,0,TB,NO,7,0,7
1,30,2229,7,3,TB,NO,0,7,-7
0,40,1674,14,3,TB,NO,14,3,11
1,36,75,14,28,TB,NO,25,14,11
0,42,1286,21,27,MIA,NE,27,21,6
1,32,410,28,30,MIA,NE,27,28,-1
1,22,21,28,33,MIA,NE,30,28,2
0,51,2502,7,7,KC,BAL,7,7,0
1,28,2225,7,10,KC,BAL,7,7,0
1,24,1804,17,10,KC,BAL,14,10,4
0,43,3,24,24,KC,BAL,24,24,0
1,35,286,27,24,KC,BAL,24,24,0
1,54,1804,7,17,HOU,IND,14,7,7
0,53,2742,7,7,GB,ATL,7,7,0
1,50,2265,10,7,GB,ATL,7,7,0
1,48,1804,19,7,GB,ATL,16,7,9
1,30,2047,14,17,CLE,CAR,14,14,0
1,49,1863,17,17,CLE,CAR,14,17,-3
1,34,1335,17,20,CLE,CAR,17,17,0
1,41,531,26,20,CLE,CAR,23,20,3
1,40,3328,3,0,SF,DEN,0,0,0
1,29,2584,6,0,SF,DEN,3,0,3
1,47,3088,7,3,LAC,CIN,0,7,-7
1,23,2105,14,6,LAC,CIN,3,14,-11
1,59,1800,17,12,LAC,CIN,14,12,2
1,31,1362,20,12,LAC,CIN,17,12,5
1,46,737,20,15,LAC,CIN,12,20,-8
1,32,470,23,15,LAC,CIN,20,15,5
1,45,54,26,21,LAC,CIN,23,21,2
1,47,2380,0,3,ARI,DET,0,0,0
0,54,2122,0,3,ARI,DET,0,3,-3
1,22,498,3,9,ARI,DET,0,9,-9
1,44,2288,10,7,OAK,PIT,7,7,0
0,39,2073,10,7,OAK,PIT,7,10,-3
0,40,5,24,21,OAK,PIT,21,24,-3
1,28,2848,3,0,DAL,PHI,0,0,0
0,45,1913,3,0,DAL,PHI,3,0,3
1,62,1801,6,0,DAL,PHI,3,0,3
1,21,1441,9,0,DAL,PHI,6,0,6
1,26,735,9,9,DAL,PHI,6,9,-3
1,27,3256,0,3,CHI,LA,0,0,0
1,39,2873,3,3,CHI,LA,0,3,-3
1,31,2368,6,3,CHI,LA,3,3,0
1,50,2057,6,6,CHI,LA,3,6,-3
0,40,616,15,6,CHI,LA,6,15,-9
0,38,170,15,6,CHI,LA,15,6,9
1,37,2655,3,0,SEA,MIN,0,0,0
1,35,806,6,0,SEA,MIN,3,0,3
0,47,346,6,0,SEA,MIN,0,6,-6
1,41,3267,0,3,NYJ,HOU,0,0,0
1,26,2824,3,3,NYJ,HOU,0,3,-3
1,32,2574,3,6,NYJ,HOU,3,3,0
1,53,2079,3,16,NYJ,HOU,13,3,10
1,49,757,15,19,NYJ,HOU,16,15,1
1,40,57,22,29,NYJ,HOU,26,22,4
1,44,2301,10,7,DEN,CLE,7,7,0
1,40,2097,10,10,DEN,CLE,7,10,-3
1,42,1005,13,10,DEN,CLE,10,10,0
1,29,279,16,17,DEN,CLE,13,17,-4
1,41,2251,7,3,CHI,GB,0,7,-7
1,43,1470,14,6,CHI,GB,3,14,-11
1,24,406,24,14,CHI,GB,21,14,7
1,45,15,24,17,CHI,GB,14,24,-10
0,48,355,14,13,BUF,DET,13,14,-1
1,21,1910,7,9,BAL,TB,6,7,-1
1,24,1813,10,9,BAL,TB,7,9,-2
1,28,1246,17,12,BAL,TB,9,17,-8
1,35,817,20,12,BAL,TB,17,12,5
1,22,2741,9,7,ATL,ARI,6,7,-1
1,33,2121,19,7,ATL,ARI,16,7,9
1,34,2206,17,0,CIN,OAK,14,0,14
1,38,1904,20,7,CIN,OAK,17,7,10
1,50,1293,20,10,CIN,OAK,7,20,-13
1,27,1062,20,13,CIN,OAK,10,20,-10
1,23,649,23,13,CIN,OAK,20,13,7
1,40,309,23,16,CIN,OAK,13,23,-10
0,48,3390,0,0,NYG,TEN,0,0,0
1,22,309,0,17,NYG,TEN,14,0,14
1,25,1818,21,9,MIN,MIA,6,21,-15
1,36,1424,24,16,MIN,MIA,21,16,5
1,34,785,27,16,MIN,MIA,24,16,8
1,46,2815,0,3,JAX,WAS,0,0,0
1,33,2006,3,3,JAX,WAS,0,3,-3
1,33,1357,9,6,JAX,WAS,3,9,-6
1,41,681,12,6,JAX,WAS,9,6,3
1,36,4,12,16,JAX,WAS,13,12,1
0,48,3302,0,0,IND,DAL,0,0,0
1,43,1802,10,0,IND,DAL,7,0,7
1,44,1001,20,0,IND,DAL,17,0,17
1,23,421,23,0,IND,DAL,20,0,20
1,28,1870,17,13,SF,SEA,14,13,1
1,33,1079,20,13,SF,SEA,17,13,4
1,45,596,23,20,SF,SEA,20,20,0
1,48,327,23,23,SF,SEA,20,23,-3
1,36,191,26,23,SF,SEA,23,23,0
0,32,1416,14,7,PIT,NE,14,7,7
1,33,920,14,10,PIT,NE,7,14,-7
1,48,154,17,10,PIT,NE,14,10,4
1,51,3221,0,3,LA,PHI,0,0,0
1,34,2525,7,6,LA,PHI,3,7,-4
1,41,2081,10,6,LA,PHI,7,6,1
1,36,1804,13,13,LA,PHI,10,13,-3
1,40,1097,13,23,LA,PHI,20,13,7
1,37,568,16,30,LA,PHI,13,30,-17
0,53,73,23,30,LA,PHI,30,23,7
1,46,2840,7,3,CAR,NO,0,7,-7
1,24,2400,7,6,CAR,NO,3,7,-4
1,50,3434,0,3,TEN,WAS,0,0,0
1,42,1801,9,10,TEN,WAS,6,10,-4
1,40,1201,9,13,TEN,WAS,10,9,1
1,33,900,12,13,TEN,WAS,9,13,-4
1,46,494,12,16,TEN,WAS,13,12,1
1,24,3467,0,3,LAC,BAL,0,0,0
0,53,3124,0,3,LAC,BAL,3,0,3
1,35,1974,0,6,LAC,BAL,3,0,3
1,38,1845,3,6,LAC,BAL,0,6,-6
0,65,1803,3,6,LAC,BAL,6,3,3
1,56,1241,10,16,LAC,BAL,13,10,3
1,37,1814,16,0,CLE,CIN,13,0,13
1,51,900,23,3,CLE,CIN,0,23,-23
1,31,449,26,3,CLE,CIN,23,3,20
1,37,3432,0,3,DAL,TB,0,0,0
1,45,2359,13,6,DAL,TB,3,13,-10
1,59,1908,16,6,DAL,TB,13,6,7
0,52,1545,16,13,DAL,TB,13,16,-3
1,20,1124,19,13,DAL,TB,16,13,3
1,47,3155,3,0,DET,MIN,0,0,0
1,35,2443,6,0,DET,MIN,3,0,3
1,48,2050,9,0,DET,MIN,6,0,6
1,24,1437,9,17,DET,MIN,14,9,5
1,29,259,9,27,DET,MIN,24,9,15
0,43,2713,7,0,NE,BUF,0,7,-7
1,35,1713,14,3,NE,BUF,0,14,-14
1,41,1511,14,6,NE,BUF,3,14,-11
1,24,467,24,6,NE,BUF,21,6,15
0,45,3383,0,0,NYJ,GB,0,0,0
1,42,1806,21,17,NYJ,GB,14,21,-7
1,29,1400,21,20,NYJ,GB,17,21,-4
1,38,709,35,23,NYJ,GB,20,35,-15
1,33,21,38,38,NYJ,GB,35,38,-3
1,30,2695,7,3,PHI,HOU,0,7,-7
1,47,1235,16,16,PHI,HOU,13,16,-3
1,35,3,32,30,PHI,HOU,29,30,-1
1,50,2266,10,7,CAR,ATL,7,7,0
1,39,2135,10,10,CAR,ATL,7,10,-3
1,40,1875,7,17,IND,NYG,14,7,7
1,27,564,21,27,IND,NYG,24,21,3
0,47,2171,7,7,MIA,JAX,7,7,0
0,56,1804,7,7,MIA,JAX,7,7,0
1,26,659,7,10,MIA,JAX,7,7,0
1,36,3131,3,0,ARI,LA,0,0,0
0,54,1817,9,21,ARI,LA,9,21,-12
0,57,1804,9,21,ARI,LA,21,9,12
1,21,1241,9,24,ARI,LA,21,9,12
0,37,3053,0,0,SF,CHI,0,0,0
1,33,2458,3,0,SF,CHI,0,0,0
1,30,2152,6,0,SF,CHI,3,0,3
1,23,1805,9,7,SF,CHI,6,7,-1
1,49,3037,0,3,NO,PIT,0,0,0
1,30,2650,7,6,NO,PIT,3,7,-4
